neighbourhood_group,neighbourhood,room_type,price_per_night,minimum_nights_to_book,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Manhattan,East Harlem,Private room,62,3,3,0.11,1,0
Manhattan,Upper West Side,Entire home/apt,165,2,191,2.18,1,236
Manhattan,Lower East Side,Entire home/apt,158,2,145,4.81,1,193
Brooklyn,Greenpoint,Entire home/apt,200,3,95,1.65,1,358
Manhattan,Lower East Side,Entire home/apt,170,1,1,0.02,1,0
Brooklyn,Bedford-Stuyvesant,Private room,59,1,123,2.23,1,336
Brooklyn,Gowanus,Entire home/apt,162,1,9,0.23,1,0
Brooklyn,Crown Heights,Private room,75,1,55,2.7,1,35
Brooklyn,Bedford-Stuyvesant,Entire home/apt,101,10,16,0.29,1,0
Queens,Rosedale,Private room,160,1,1,0.11,1,365
Manhattan,Chelsea,Private room,95,1,75,3.95,1,19
Queens,Sunnyside,Private room,50,2,7,0.21,1,0
Brooklyn,Midwood,Entire home/apt,105,3,1,0.12,2,46
Manhattan,Lower East Side,Private room,85,30,2,0.06,1,0
Brooklyn,Williamsburg,Private room,80,5,11,0.18,1,0
Manhattan,Harlem,Private room,89,6,9,1.42,2,0
Manhattan,Harlem,Private room,65,30,6,0.16,3,365
Manhattan,Roosevelt Island,Private room,70,3,1,0.26,2,358
Manhattan,Theater District,Entire home/apt,230,2,179,1.88,1,44
Manhattan,Harlem,Private room,85,1,22,2.53,1,232
Manhattan,Harlem,Private room,80,1,28,2.78,2,5
Brooklyn,Brooklyn Heights,Entire home/apt,195,5,94,2.04,1,26
Brooklyn,Williamsburg,Entire home/apt,150,5,7,0.12,1,0
Manhattan,Upper East Side,Entire home/apt,175,2,54,3.72,1,0
Manhattan,Hell's Kitchen,Entire home/apt,100,2,11,0.16,1,0
Brooklyn,Williamsburg,Entire home/apt,120,5,18,0.32,1,188
Brooklyn,Bedford-Stuyvesant,Private room,31,29,10,0.25,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,130,2,107,3.47,1,81
Brooklyn,Williamsburg,Entire home/apt,250,2,6,0.18,1,0
Manhattan,Upper West Side,Entire home/apt,185,1,1,0.02,1,0
Brooklyn,Crown Heights,Entire home/apt,130,2,3,0.06,1,0
Brooklyn,Bushwick,Private room,63,3,96,3.7,1,282
Brooklyn,Bedford-Stuyvesant,Entire home/apt,40,2,8,0.24,1,10
Manhattan,Harlem,Private room,75,3,50,0.65,2,38
Manhattan,East Harlem,Private room,75,1,37,0.53,1,139
Manhattan,Harlem,Private room,55,1,1,0.03,2,0
Brooklyn,Williamsburg,Private room,65,2,2,0.09,1,0
Manhattan,Midtown,Entire home/apt,255,2,69,3.85,1,149
Manhattan,Upper West Side,Private room,100,1,9,0.19,1,0
Brooklyn,Boerum Hill,Private room,98,1,9,0.89,3,25
Manhattan,West Village,Entire home/apt,150,2,3,0.16,2,0
Queens,Astoria,Private room,45,5,20,0.89,1,16
Brooklyn,Sheepshead Bay,Private room,50,5,40,1.57,1,321
Manhattan,Lower East Side,Entire home/apt,150,2,18,0.87,1,0
Manhattan,Lower East Side,Entire home/apt,225,30,2,0.23,2,188
Brooklyn,Boerum Hill,Entire home/apt,119,5,12,0.25,1,0
Queens,Ditmars Steinway,Private room,85,3,3,0.06,2,163
Brooklyn,Williamsburg,Private room,85,2,4,0.13,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,2,50,2.34,1,14
Manhattan,Morningside Heights,Private room,55,2,19,0.79,2,0
Brooklyn,Boerum Hill,Entire home/apt,150,3,55,0.94,1,7
Manhattan,Lower East Side,Private room,89,3,19,0.41,1,0
Brooklyn,East New York,Private room,52,1,13,0.53,2,365
Bronx,Morris Heights,Private room,75,1,3,0.32,1,365
Manhattan,Upper West Side,Entire home/apt,200,2,1,1.0,1,265
Manhattan,SoHo,Entire home/apt,76,30,10,0.31,1,30
Brooklyn,Bushwick,Entire home/apt,200,1,28,4.22,1,30
Brooklyn,Prospect Heights,Entire home/apt,135,3,3,0.48,1,0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,190,4,26,1.18,1,145
Queens,Astoria,Private room,69,40,23,0.27,1,207
Brooklyn,Fort Greene,Private room,100,1,1,0.03,2,0
Queens,Briarwood,Entire home/apt,85,5,1,1.0,1,54
Manhattan,East Village,Private room,99,3,11,0.33,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,3,284,4.57,1,237
Brooklyn,Williamsburg,Private room,84,2,190,3.82,2,254
Manhattan,Chelsea,Entire home/apt,225,3,2,0.26,1,0
Manhattan,Harlem,Entire home/apt,125,6,2,0.04,1,0
Brooklyn,Bushwick,Private room,60,3,8,0.33,1,0
Manhattan,Upper West Side,Private room,145,2,1,0.11,1,180
Brooklyn,Canarsie,Entire home/apt,240,1,2,2.0,1,154
Brooklyn,Carroll Gardens,Entire home/apt,250,5,49,0.67,1,0
Queens,Woodside,Entire home/apt,125,1,33,3.2,1,95
Brooklyn,Williamsburg,Entire home/apt,175,1,3,0.07,1,0
Manhattan,Harlem,Entire home/apt,200,2,2,0.13,1,0
Manhattan,Upper West Side,Entire home/apt,260,3,1,0.05,1,0
Brooklyn,Bedford-Stuyvesant,Private room,39,2,57,1.25,3,117
Manhattan,Upper East Side,Entire home/apt,275,7,10,0.66,1,0
Manhattan,Harlem,Entire home/apt,70,4,9,0.44,1,0
Queens,Long Island City,Private room,58,1,33,1.98,1,101
Manhattan,Chinatown,Private room,95,1,80,2.0,2,49
Brooklyn,South Slope,Entire home/apt,250,3,2,0.04,1,0
Manhattan,Washington Heights,Entire home/apt,100,30,13,0.18,1,219
Manhattan,East Village,Entire home/apt,142,3,15,0.71,1,118
Brooklyn,Sunset Park,Entire home/apt,250,2,29,4.08,1,121
Brooklyn,Bushwick,Private room,80,1,34,2.07,3,207
Brooklyn,Crown Heights,Entire home/apt,90,1,51,4.47,1,2
Brooklyn,Bushwick,Entire home/apt,98,2,7,3.33,1,4
Brooklyn,Bushwick,Private room,53,1,49,1.86,3,105
Manhattan,Flatiron District,Entire home/apt,180,3,16,0.47,1,0
Manhattan,Hell's Kitchen,Private room,85,2,188,1.5,1,39
Brooklyn,Prospect-Lefferts Gardens,Private room,49,10,1,0.03,1,0
Brooklyn,Park Slope,Private room,152,2,23,0.27,1,365
Queens,Ditmars Steinway,Entire home/apt,200,2,11,0.52,1,363
Manhattan,Lower East Side,Entire home/apt,175,4,36,0.77,1,0
Brooklyn,Bedford-Stuyvesant,Shared room,31,4,114,3.72,3,0
Manhattan,Chelsea,Entire home/apt,175,3,136,3.18,1,288
Manhattan,Kips Bay,Entire home/apt,165,3,2,0.11,1,2
Manhattan,Lower East Side,Private room,80,3,30,2.31,3,76
Manhattan,Harlem,Entire home/apt,110,2,4,0.11,1,0
Manhattan,Upper West Side,Entire home/apt,117,5,1,0.06,1,0
Manhattan,Harlem,Entire home/apt,120,1,4,0.12,1,0
Brooklyn,Bedford-Stuyvesant,Private room,100,2,34,2.45,1,59
Brooklyn,Crown Heights,Entire home/apt,98,1,5,0.12,1,0
Brooklyn,Prospect Heights,Private room,150,1,1,0.18,1,0
Manhattan,East Village,Private room,65,1,1,0.02,1,0
Queens,East Elmhurst,Entire home/apt,165,2,32,1.03,1,55
Queens,Jackson Heights,Entire home/apt,72,1,70,7.42,3,98
Brooklyn,Williamsburg,Entire home/apt,100,31,15,0.18,1,223
Brooklyn,Park Slope,Entire home/apt,179,2,15,0.22,1,0
Manhattan,Gramercy,Entire home/apt,135,14,2,0.27,1,240
Brooklyn,Prospect Heights,Entire home/apt,85,7,52,1.05,1,24
Manhattan,Harlem,Entire home/apt,70,7,12,0.33,1,38
Brooklyn,Park Slope,Private room,95,2,132,2.7,3,265
Manhattan,Kips Bay,Entire home/apt,145,7,2,0.29,1,0
Brooklyn,Fort Greene,Private room,75,3,9,0.75,1,7
Brooklyn,Flatbush,Entire home/apt,100,4,20,1.25,1,328
Brooklyn,Flatbush,Private room,60,1,12,1.34,1,90
Manhattan,Upper West Side,Entire home/apt,210,3,25,0.3,1,347
Brooklyn,Bay Ridge,Entire home/apt,89,2,101,2.26,1,291
Brooklyn,Bedford-Stuyvesant,Private room,50,1,2,0.05,1,0
Brooklyn,Williamsburg,Entire home/apt,225,2,9,0.66,1,120
Manhattan,East Village,Entire home/apt,120,7,6,0.08,1,0
Brooklyn,Crown Heights,Private room,50,7,1,0.15,1,0
Brooklyn,Vinegar Hill,Private room,69,5,5,0.22,1,166
Manhattan,Hell's Kitchen,Entire home/apt,199,2,12,2.83,3,110
Manhattan,East Harlem,Private room,70,1,6,0.95,1,0
Manhattan,Hell's Kitchen,Private room,100,1,216,8.07,1,43
Manhattan,Hell's Kitchen,Entire home/apt,217,2,43,0.51,1,0
Manhattan,Midtown,Private room,90,2,13,1.88,1,24
Brooklyn,Prospect-Lefferts Gardens,Private room,50,7,1,0.94,1,125
Brooklyn,East Flatbush,Private room,50,2,149,3.86,1,92
Manhattan,SoHo,Entire home/apt,205,2,109,4.29,1,32
Manhattan,East Harlem,Private room,55,7,3,0.09,1,215
Manhattan,East Harlem,Private room,270,1,3,3.0,1,30
Brooklyn,Bedford-Stuyvesant,Entire home/apt,130,4,3,0.4,1,5
Manhattan,Inwood,Entire home/apt,78,30,2,0.09,1,15
Brooklyn,Bedford-Stuyvesant,Private room,48,1,14,6.36,2,249
Manhattan,Harlem,Private room,45,7,6,0.15,1,0
Manhattan,Gramercy,Entire home/apt,305,3,175,3.89,1,132
Manhattan,Upper East Side,Entire home/apt,140,7,2,0.05,1,0
Brooklyn,Bushwick,Entire home/apt,89,1,8,7.5,1,88
Queens,Queens Village,Private room,65,1,15,1.14,2,349
Manhattan,East Village,Private room,80,6,10,0.31,2,7
Brooklyn,Bushwick,Private room,60,1,17,0.4,1,205
Staten Island,Tompkinsville,Entire home/apt,65,2,13,2.89,1,247
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,4,15,0.31,1,97
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,30,3,0.11,3,308
Brooklyn,Sheepshead Bay,Private room,65,2,38,2.57,2,306
Manhattan,Upper East Side,Entire home/apt,135,3,8,0.89,1,0
Brooklyn,Brighton Beach,Private room,38,3,16,1.38,2,175
Brooklyn,Bedford-Stuyvesant,Entire home/apt,101,2,37,4.19,1,170
Brooklyn,Crown Heights,Private room,95,3,1,1.0,2,360
Brooklyn,Bushwick,Entire home/apt,89,3,14,0.39,1,0
Manhattan,Lower East Side,Private room,110,14,2,0.03,1,0
Manhattan,Harlem,Private room,150,1,1,0.03,1,87
Manhattan,Upper West Side,Private room,70,1,1,0.07,1,0
Manhattan,East Village,Entire home/apt,128,4,2,2.0,1,16
Brooklyn,Clinton Hill,Private room,165,4,11,0.11,3,365
Brooklyn,East Flatbush,Entire home/apt,45,2,17,2.98,1,248
Brooklyn,Brownsville,Private room,28,1,7,0.23,1,0
Manhattan,Upper West Side,Shared room,61,1,5,0.15,2,0
Brooklyn,Williamsburg,Private room,60,1,2,0.05,1,0
Manhattan,Harlem,Private room,35,1,4,0.12,1,0
Manhattan,Hell's Kitchen,Entire home/apt,189,3,4,0.09,1,0
Brooklyn,Williamsburg,Private room,55,4,43,1.41,3,58
Manhattan,East Harlem,Private room,89,4,1,0.16,1,365
Queens,Long Island City,Private room,95,2,62,1.96,1,118
Queens,Astoria,Private room,80,3,22,1.28,1,188
Queens,Forest Hills,Private room,59,4,138,2.69,1,35
Brooklyn,Bedford-Stuyvesant,Private room,55,2,67,1.72,2,110
Brooklyn,Williamsburg,Entire home/apt,265,1,9,3.8,1,86
Brooklyn,Windsor Terrace,Entire home/apt,150,10,3,0.25,1,23
Brooklyn,Bushwick,Private room,32,1,3,0.15,1,0
Manhattan,Harlem,Entire home/apt,135,30,2,0.88,1,7
Manhattan,Upper East Side,Entire home/apt,110,14,4,0.36,1,221
Manhattan,Harlem,Entire home/apt,105,7,32,0.91,1,290
Manhattan,Financial District,Entire home/apt,300,3,100,2.66,1,335
Queens,Long Island City,Entire home/apt,231,3,4,0.27,1,0
Brooklyn,Williamsburg,Private room,85,2,5,2.38,1,86
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,2,77,2.97,1,88
Manhattan,Hell's Kitchen,Private room,185,4,1,1.0,1,50
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,3,305,3.24,1,231
Brooklyn,Carroll Gardens,Entire home/apt,50,3,5,0.63,1,0
Queens,Elmhurst,Entire home/apt,85,2,1,0.05,1,0
Manhattan,Lower East Side,Entire home/apt,110,8,5,0.07,1,333
Manhattan,Morningside Heights,Entire home/apt,140,4,2,0.04,1,0
Brooklyn,South Slope,Private room,59,4,28,0.8,2,99
Manhattan,Chinatown,Entire home/apt,250,15,9,0.1,1,190
Queens,Sunnyside,Private room,150,3,1,0.04,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,155,2,122,3.96,1,59
Manhattan,East Village,Entire home/apt,200,10,35,0.46,1,51
Manhattan,East Village,Entire home/apt,119,3,8,0.58,1,41
Manhattan,East Harlem,Entire home/apt,300,3,38,2.42,1,272
Brooklyn,Greenpoint,Entire home/apt,100,60,1,0.77,1,220
Brooklyn,Greenpoint,Entire home/apt,120,3,8,1.28,1,3
Brooklyn,Bushwick,Entire home/apt,130,2,106,2.2,1,210
Bronx,Van Nest,Private room,50,1,19,4.35,1,32
Manhattan,East Village,Entire home/apt,150,2,20,1.19,1,2
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,2,22,3.32,1,286
Manhattan,Murray Hill,Private room,80,1,1,1.0,1,2
Manhattan,Hell's Kitchen,Entire home/apt,299,1,31,2.74,1,84
Brooklyn,South Slope,Entire home/apt,131,2,67,3.94,1,61
Brooklyn,Gowanus,Entire home/apt,299,3,13,0.56,1,346
Manhattan,East Harlem,Private room,95,4,150,1.88,1,192
Manhattan,Harlem,Private room,110,2,137,4.37,1,102
Brooklyn,Bedford-Stuyvesant,Entire home/apt,95,2,4,0.26,1,0
Manhattan,West Village,Entire home/apt,250,1,1,1.0,1,27
Manhattan,East Village,Entire home/apt,165,1,4,2.61,1,97
Manhattan,Greenwich Village,Entire home/apt,149,14,8,0.42,1,38
Brooklyn,Bedford-Stuyvesant,Private room,50,3,15,0.8,1,0
Manhattan,Harlem,Private room,55,21,7,0.29,1,286
Manhattan,Harlem,Private room,35,3,2,0.17,1,0
Manhattan,Kips Bay,Private room,115,3,1,0.02,2,0
Brooklyn,Williamsburg,Private room,90,2,5,0.24,3,310
Brooklyn,Crown Heights,Entire home/apt,90,13,12,0.58,1,74
Manhattan,Upper West Side,Entire home/apt,150,30,8,0.24,1,328
Brooklyn,Bushwick,Private room,55,3,2,0.1,1,241
Manhattan,Murray Hill,Entire home/apt,195,4,31,0.46,1,78
Brooklyn,Sunset Park,Entire home/apt,109,2,70,0.96,1,339
Brooklyn,Fort Greene,Entire home/apt,225,2,117,2.48,1,242
Queens,Long Island City,Private room,56,13,1,0.15,1,12
Queens,Sunnyside,Private room,33,7,6,0.18,1,337
Manhattan,Lower East Side,Private room,95,4,9,0.26,1,0
Manhattan,Upper West Side,Entire home/apt,74,2,8,0.21,1,0
Manhattan,Financial District,Entire home/apt,199,10,36,1.52,2,297
Brooklyn,Bedford-Stuyvesant,Private room,45,4,41,1.06,2,89
Brooklyn,Crown Heights,Entire home/apt,140,1,3,1.58,1,13
Brooklyn,Sunset Park,Entire home/apt,105,7,3,0.06,1,0
Brooklyn,Bushwick,Private room,60,1,9,4.66,2,174
Manhattan,Lower East Side,Entire home/apt,189,5,220,3.25,2,271
Manhattan,Greenwich Village,Private room,115,2,4,0.11,1,0
Manhattan,Hell's Kitchen,Private room,135,2,123,2.81,1,124
Brooklyn,East Flatbush,Private room,75,3,1,1.0,3,170
Manhattan,East Village,Entire home/apt,225,3,93,1.05,1,0
Brooklyn,South Slope,Entire home/apt,192,4,6,0.14,1,8
Manhattan,Harlem,Private room,49,7,1,0.03,2,0
Manhattan,Upper East Side,Entire home/apt,140,3,1,0.22,1,0
Manhattan,Theater District,Entire home/apt,200,4,75,4.36,1,59
Queens,Ridgewood,Private room,33,3,2,0.06,1,0
Manhattan,Harlem,Private room,99,3,81,1.28,3,307
Brooklyn,South Slope,Private room,89,1,102,2.56,1,269
Manhattan,Upper East Side,Entire home/apt,126,2,45,2.0,1,0
Brooklyn,Crown Heights,Entire home/apt,125,2,70,1.85,1,132
Queens,Rosedale,Private room,55,1,42,5.78,2,87
Brooklyn,Bedford-Stuyvesant,Private room,58,1,118,5.48,1,21
Brooklyn,Williamsburg,Private room,69,3,1,0.52,1,0
Manhattan,Greenwich Village,Entire home/apt,161,1,27,0.74,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,148,1,37,1.44,1,0
Brooklyn,Flatbush,Private room,100,4,5,0.14,1,7
Brooklyn,Fort Hamilton,Private room,55,1,1,1.0,1,322
Brooklyn,Bedford-Stuyvesant,Entire home/apt,105,1,9,0.18,1,0
Brooklyn,Park Slope,Entire home/apt,165,6,5,0.25,2,73
Manhattan,Chelsea,Entire home/apt,139,3,4,1.17,1,58
Manhattan,Upper East Side,Entire home/apt,300,31,1,0.03,1,201
Brooklyn,Williamsburg,Entire home/apt,115,2,2,0.05,1,0
Manhattan,Washington Heights,Private room,54,3,1,0.03,1,0
Brooklyn,Williamsburg,Entire home/apt,220,2,14,0.76,1,0
Manhattan,Flatiron District,Entire home/apt,195,1,1,0.02,1,0
Queens,Jackson Heights,Private room,250,2,14,0.51,1,1
Brooklyn,Williamsburg,Entire home/apt,145,3,8,0.16,1,0
Brooklyn,Fort Greene,Entire home/apt,180,3,42,1.91,1,73
Brooklyn,Prospect Heights,Private room,99,1,8,0.17,2,0
Brooklyn,South Slope,Entire home/apt,105,28,101,1.06,1,167
Manhattan,Upper West Side,Entire home/apt,96,1,2,0.05,1,0
Brooklyn,Crown Heights,Entire home/apt,180,2,2,0.07,1,0
Brooklyn,Flatbush,Entire home/apt,75,7,1,0.02,1,0
Manhattan,Lower East Side,Private room,123,1,10,4.35,3,0
Brooklyn,Canarsie,Private room,78,2,45,1.78,1,41
Manhattan,Washington Heights,Private room,55,1,108,5.34,1,13
Manhattan,Harlem,Entire home/apt,110,2,29,1.97,1,200
Manhattan,East Village,Entire home/apt,130,1,26,3.01,1,243
Queens,Long Island City,Entire home/apt,130,3,6,0.13,1,0
Brooklyn,Bedford-Stuyvesant,Private room,54,1,166,5.09,2,0
Manhattan,Hell's Kitchen,Entire home/apt,241,3,8,1.06,2,23
Brooklyn,Bushwick,Private room,30,1,1,1.0,1,1
Manhattan,Harlem,Entire home/apt,200,3,25,1.8,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,99,2,216,3.61,1,321
Manhattan,East Village,Entire home/apt,167,5,13,2.75,1,91
Manhattan,Harlem,Private room,147,4,30,1.18,1,28
Manhattan,Chelsea,Entire home/apt,230,4,3,0.76,1,0
Brooklyn,Bedford-Stuyvesant,Private room,52,4,3,0.35,2,157
Manhattan,East Village,Private room,125,1,25,2.68,1,68
Manhattan,Midtown,Entire home/apt,169,18,54,0.57,1,98
Manhattan,Hell's Kitchen,Private room,64,2,1,0.03,1,0
Brooklyn,South Slope,Entire home/apt,150,31,1,0.64,2,281
Queens,Ditmars Steinway,Private room,115,1,7,2.26,2,304
Brooklyn,Williamsburg,Entire home/apt,190,4,2,0.32,2,128
Brooklyn,Bushwick,Private room,65,3,5,0.46,2,0
Brooklyn,Park Slope,Entire home/apt,275,2,119,4.08,1,65
Brooklyn,Williamsburg,Private room,95,2,156,2.43,2,274
Brooklyn,Crown Heights,Private room,60,3,2,0.09,1,0
Manhattan,Midtown,Private room,70,1,1,0.02,2,0
Manhattan,East Harlem,Entire home/apt,75,1,107,1.91,1,116
Brooklyn,Sunset Park,Private room,50,2,33,0.39,1,20
Manhattan,Greenwich Village,Entire home/apt,240,3,15,0.56,1,45
Queens,Ditmars Steinway,Private room,175,30,5,0.31,1,283
Brooklyn,Bushwick,Entire home/apt,174,3,198,3.7,2,269
Queens,Jackson Heights,Private room,60,2,2,2.0,1,326
Brooklyn,Prospect Heights,Entire home/apt,91,5,2,0.21,1,0
Queens,Richmond Hill,Private room,150,1,1,0.4,1,0
Brooklyn,Crown Heights,Private room,145,3,1,0.04,1,0
Manhattan,Roosevelt Island,Private room,70,2,5,0.14,1,0
Brooklyn,Boerum Hill,Entire home/apt,160,3,38,0.8,3,249
Manhattan,Nolita,Entire home/apt,310,5,5,0.09,1,89
Brooklyn,Bushwick,Private room,56,1,69,2.35,3,87
Brooklyn,Williamsburg,Entire home/apt,200,2,1,0.02,1,0
Manhattan,Washington Heights,Entire home/apt,103,4,18,0.84,1,0
Queens,Arverne,Private room,37,1,114,3.18,2,305
Brooklyn,Crown Heights,Private room,35,2,2,0.16,1,0
Brooklyn,South Slope,Private room,60,1,18,1.65,2,308
Brooklyn,Bushwick,Private room,70,5,1,0.02,1,0
Manhattan,Stuyvesant Town,Private room,55,1,4,0.97,1,1
Brooklyn,Williamsburg,Entire home/apt,150,1,174,4.84,1,236
Brooklyn,Flatbush,Entire home/apt,100,1,5,0.27,1,0
Brooklyn,Flatbush,Private room,44,5,32,1.39,1,286
Bronx,Clason Point,Private room,48,2,33,3.21,1,47
Brooklyn,Bedford-Stuyvesant,Private room,35,5,69,0.91,3,244
Queens,Sunnyside,Entire home/apt,80,50,2,0.09,1,8
Manhattan,Washington Heights,Entire home/apt,80,3,31,0.56,1,68
Brooklyn,Prospect-Lefferts Gardens,Private room,80,1,27,1.66,1,0
Queens,Elmhurst,Private room,45,7,4,0.46,3,21
Brooklyn,Fort Greene,Entire home/apt,180,2,5,0.16,1,18
Bronx,Mott Haven,Private room,54,1,9,0.46,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,105,4,131,2.92,1,55
Manhattan,East Village,Entire home/apt,175,7,4,0.38,1,0
Manhattan,Harlem,Private room,68,3,164,2.85,1,87
Manhattan,Greenwich Village,Private room,110,3,7,0.12,1,0
Manhattan,Lower East Side,Entire home/apt,120,4,182,2.6,1,72
Brooklyn,Crown Heights,Entire home/apt,100,7,46,0.87,1,0
Brooklyn,Park Slope,Private room,115,2,153,3.0,3,0
Brooklyn,Bushwick,Private room,130,2,30,2.05,1,290
Queens,Long Island City,Private room,77,3,48,1.72,3,332
Queens,Long Island City,Entire home/apt,115,1,21,1.0,1,0
Queens,East Elmhurst,Entire home/apt,135,1,17,3.57,2,0
Manhattan,Harlem,Private room,75,5,1,0.19,1,0
Brooklyn,Greenpoint,Entire home/apt,225,2,1,0.06,1,0
Brooklyn,Greenpoint,Entire home/apt,114,2,3,0.08,1,0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,159,3,16,5.78,1,10
Manhattan,East Village,Entire home/apt,179,1,20,2.65,1,268
Brooklyn,Greenpoint,Entire home/apt,195,1,1,0.02,1,0
Brooklyn,Williamsburg,Entire home/apt,195,4,7,0.23,1,0
Queens,Rego Park,Private room,65,2,21,1.76,3,0
Manhattan,Financial District,Private room,175,3,55,2.95,1,26
Brooklyn,South Slope,Private room,60,2,1,0.12,1,36
Manhattan,Upper East Side,Entire home/apt,180,2,2,0.03,1,0
Manhattan,West Village,Entire home/apt,150,7,40,0.57,1,0
Manhattan,Chinatown,Private room,69,30,1,0.03,1,359
Brooklyn,Crown Heights,Private room,42,4,13,0.41,1,364
Brooklyn,Clinton Hill,Entire home/apt,89,3,3,0.07,1,0
Manhattan,Nolita,Entire home/apt,299,2,26,0.37,1,88
Brooklyn,Williamsburg,Private room,45,4,3,0.12,1,0
Manhattan,Hell's Kitchen,Entire home/apt,98,7,6,0.14,1,0
Brooklyn,Flatbush,Shared room,30,3,5,0.14,1,189
Bronx,Concourse,Private room,99,1,2,0.32,1,90
Brooklyn,Crown Heights,Private room,32,7,3,0.07,3,319
Brooklyn,Park Slope,Entire home/apt,150,3,28,2.58,2,57
Brooklyn,Williamsburg,Private room,57,2,31,1.05,1,40
Manhattan,Hell's Kitchen,Entire home/apt,269,4,26,2.6,1,49
Staten Island,Tompkinsville,Private room,50,1,4,4.0,2,84
Brooklyn,Bushwick,Private room,75,2,3,0.48,1,0
Manhattan,Lower East Side,Private room,59,30,4,0.34,1,52
Brooklyn,Bushwick,Private room,29,2,7,0.38,1,0
Manhattan,East Village,Private room,149,2,5,0.3,2,0
Manhattan,East Village,Entire home/apt,150,3,35,0.92,1,0
Manhattan,Upper West Side,Entire home/apt,150,30,18,0.29,2,135
Queens,Flushing,Private room,60,1,112,7.55,2,84
Brooklyn,Bushwick,Private room,30,1,3,0.07,3,0
Manhattan,East Harlem,Entire home/apt,97,1,16,3.38,1,11
Manhattan,Midtown,Private room,130,1,40,2.08,3,0
Brooklyn,Bedford-Stuyvesant,Private room,40,3,5,0.14,1,0
Manhattan,Upper West Side,Entire home/apt,125,2,1,0.02,1,0
Manhattan,Inwood,Entire home/apt,68,6,24,0.6,1,0
Manhattan,Hell's Kitchen,Private room,97,3,8,0.86,2,10
Manhattan,Upper East Side,Entire home/apt,139,2,160,2.76,1,248
Brooklyn,Crown Heights,Private room,85,1,9,3.1,3,125
Brooklyn,Bushwick,Private room,52,1,7,4.77,1,0
Brooklyn,Flatbush,Private room,44,30,1,0.06,1,0
Brooklyn,Clinton Hill,Private room,125,1,33,4.34,1,0
Brooklyn,Bushwick,Entire home/apt,99,2,12,1.71,2,46
Manhattan,Harlem,Private room,60,1,2,0.04,1,0
Brooklyn,Williamsburg,Entire home/apt,150,3,52,0.72,1,342
Queens,Far Rockaway,Private room,35,1,42,1.52,2,124
Brooklyn,Fort Hamilton,Entire home/apt,98,5,1,0.16,1,23
Manhattan,Harlem,Entire home/apt,109,2,1,0.02,1,0
Queens,Rosedale,Entire home/apt,60,1,57,2.41,1,336
Queens,Forest Hills,Private room,150,2,1,0.16,3,365
Manhattan,Upper West Side,Entire home/apt,135,10,13,1.38,1,7
Brooklyn,Crown Heights,Private room,70,5,12,0.67,3,0
Brooklyn,Bedford-Stuyvesant,Private room,95,1,22,1.33,1,36
Brooklyn,Williamsburg,Entire home/apt,150,10,4,0.12,1,93
Manhattan,Lower East Side,Entire home/apt,150,2,10,0.58,1,6
Brooklyn,Bushwick,Private room,49,1,107,3.04,1,340
Brooklyn,Williamsburg,Private room,105,1,1,0.18,1,0
Brooklyn,Crown Heights,Entire home/apt,120,4,4,2.5,1,64
Manhattan,Upper West Side,Entire home/apt,139,4,8,0.23,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,3,5,0.66,1,4
Brooklyn,Bedford-Stuyvesant,Private room,100,3,50,1.08,1,339
Manhattan,Upper East Side,Entire home/apt,160,2,14,1.79,1,170
Brooklyn,Flatbush,Private room,47,4,2,0.05,1,0
Brooklyn,Bushwick,Private room,44,5,3,0.25,1,4
Manhattan,East Village,Private room,65,7,9,0.71,1,144
Brooklyn,Bedford-Stuyvesant,Entire home/apt,140,3,156,2.36,2,230
Manhattan,Gramercy,Entire home/apt,149,7,13,0.33,1,0
Queens,Ditmars Steinway,Entire home/apt,120,2,2,0.19,1,0
Staten Island,Emerson Hill,Entire home/apt,78,2,11,3.88,3,38
Brooklyn,Bedford-Stuyvesant,Private room,65,5,30,3.66,2,178
Manhattan,Flatiron District,Entire home/apt,110,7,11,0.2,1,0
Manhattan,Upper West Side,Private room,250,3,78,2.93,1,246
Manhattan,Lower East Side,Entire home/apt,150,2,151,1.51,2,52
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,75,3.27,1,316
Manhattan,Upper East Side,Private room,83,1,75,4.57,1,44
Manhattan,Murray Hill,Entire home/apt,129,3,6,0.93,2,22
Manhattan,East Village,Entire home/apt,180,1,146,3.14,1,270
Queens,Rego Park,Entire home/apt,86,3,3,0.09,1,0
